FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
11/12/2017 12:00,23.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/2/2015 12:00,28.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/23/2015 12:00,24.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/3/2018 12:00,25.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/2/2016 12:00,27.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/10/2018 12:00,25.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/28/2018 12:00,27,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/10/2019 12:00,13.3,EL SILENCIO - AUT,4.600222222,-75.336
6/8/2019 12:00,15.7,EL SILENCIO - AUT,4.600222222,-75.336
5/1/2016 12:00,25.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/18/2017 12:00,26.00268,ESPERANZA LA  - AUT,4.45,-75.25
8/6/2018 12:00,27.62399,ESPERANZA LA  - AUT,4.45,-75.25
8/11/2017 12:00,24.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/8/2019 12:00,26,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/28/2017 12:00,22.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/22/2015 12:00,22.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/17/2017 12:00,25.3,ESPERANZA LA  - AUT,4.45,-75.25
10/20/2015 12:00,29.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/17/2017 12:00,25.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/2/2019 12:00,11.38527,ESPERANZA LA  - AUT,4.45,-75.25
11/14/2016 12:00,21,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/27/2018 12:00,19,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/27/2016 12:00,21.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/14/2018 12:00,18,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/6/2016 12:00,22.2,ESPERANZA LA  - AUT,4.45,-75.25
12/7/2015 12:00,26.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/19/2016 12:00,23.6,ESPERANZA LA  - AUT,4.45,-75.25
5/12/2019 12:00,23.18438,ESPERANZA LA  - AUT,4.45,-75.25
5/6/2015 12:00,21.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
6/17/2018 12:00,25,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/22/2016 12:00,25.9,ESPERANZA LA  - AUT,4.45,-75.25
6/27/2018 12:00,25.43113,ESPERANZA LA  - AUT,4.45,-75.25
6/21/2015 12:00,22.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/25/2016 12:00,26.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/25/2018 12:00,18.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/14/2016 12:00,22.5,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
2/26/2015 12:00,23.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/3/2016 12:00,25.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/10/2019 12:00,25.18652,ESPERANZA LA  - AUT,4.45,-75.25
5/29/2019 12:00,19.31168,ESPERANZA LA  - AUT,4.45,-75.25
7/15/2015 12:00,26,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/5/2016 12:00,26.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
11/25/2018 12:00,23.58256,ESPERANZA LA  - AUT,4.45,-75.25
5/22/2019 12:00,26.1644,ESPERANZA LA  - AUT,4.45,-75.25
3/11/2018 12:00,29.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
